,a1,a2,a3,logZ,MX,sqrtM2X,MY,sqrtM2Y,MZ,sqrtM2Z
0,1.1547005383792515,1.8257418583505538,4.0,3.0795067312917888,-9.651260403336064e-07,1.8427072078080682,0.0,-1.8179396577976956,-7.214086415024627e-17,1.1636027126172538e-15
1,1.1547005383792515,1.8257418583505538,4.05,3.080643772464323,1.0293431723282074e-06,1.8357252019242891,0.0,-1.811075142925641,-5.87185082819934e-17,2.107339670582833e-16
2,1.1547005383792515,1.8257418583505538,4.1,3.081753892329812,-1.0212043424263893e-06,1.8281281749354503,0.0,-1.8036157431090678,-3.0117136677401734e-16,5.863162816101888e-16
3,1.1547005383792515,1.8257418583505538,4.15,3.0828278882054345,1.1789074105694194e-06,1.8198262543653132,0.0,-1.795463165670565,7.945367673337306e-17,2.3531080232933882e-15
4,1.1547005383792515,1.8257418583505538,4.2,3.0838539279008703,1.17903546978525e-06,1.8107098791269407,0.0,-1.7864873338620304,-6.477145058665857e-17,7.998736319414434e-17
5,1.1547005383792515,1.8257418583505538,4.25,3.084819945394773,6.055483084975752e-07,1.8016608087831492,0.0,-1.775976212399173,-3.629783111806796e-16,7.801928336235645e-16
6,1.1547005383792515,1.8257418583505538,4.3,3.084886324388943,7.472080974852066e-07,1.6984303372821494,0.0,-1.8426529718226974,1.4510321902647328e-16,2.401162712412328e-05
7,1.1547005383792515,1.8257418583505538,4.35,3.0850973330780853,3.4681186359339375e-07,1.6475524807918394,0.0,-1.8537626121703128,6.798900706830224e-16,3.8746481967251135e-05
8,1.1547005383792515,1.8257418583505538,4.4,3.084139103820153,-3.715422610631344e-08,1.5392499191251123,0.0,-1.8704587316851102,1.0488373361613314e-15,0.00023813206472705643
9,1.1547005383792515,1.8257418583505538,4.45,3.082783932182161,-2.049182669491437e-08,1.4453598624230115,0.0,-1.860665834679501,1.3537838588553241e-14,0.000263899779733043
10,1.1547005383792515,1.8257418583505538,4.5,3.090727350387072,-1.8520262090134306e-15,4.573058909579617e-15,0.0,-1.7663830736320465,-1.0317011009397525e-08,1.6487712012417828
